episode,avg_reward
100,-0.44444444444444425
200,-0.45226130653266317
300,-0.3896321070234111
400,-0.3684210526315789
500,-0.34468937875751493
600,-0.32637729549248734
700,-0.3011444921316165
800,-0.32290362953692126
900,-0.3203559510567298
1000,-0.31181181181181195
1100,-0.2870791628753415
1200,-0.28148457047539643
1300,-0.284834488067745
1400,-0.2844889206576131
1500,-0.2845230153435628
1600,-0.266103814884303
1700,-0.2625073572689821
1800,-0.2598665925514177
1900,-0.2614533965244869
2000,-0.2643821910955482
2100,-0.26560266793711307
2200,-0.25625284220100075
2300,-0.25380600260983033
2400,-0.25531471446436016
2500,-0.24929971988795532
2600,-0.2524047710657946
2700,-0.24008892182289743
2800,-0.2384780278670954
2900,-0.23646084856847194
3000,-0.2362454151383795
3100,-0.23507583091319806
3200,-0.22850890903407334
3300,-0.2314337678084269
3400,-0.22947925860547233
3500,-0.22520720205773115
3600,-0.22478466240622424
3700,-0.22262773722627768
3800,-0.21913661489865785
3900,-0.21979994870479638
4000,-0.2219304826206553
4100,-0.2222493291046598
4200,-0.21814717789949997
4300,-0.2186555012793674
4400,-0.21720845646737913
4500,-0.2190486774838854
4600,-0.21787345075016326
4700,-0.21440732070653346
4800,-0.21441967076474286
4900,-0.21239028373137386
5000,-0.21514302860572124
5100,-0.21357128848793883
5200,-0.21167532217734186
5300,-0.2093791281373845
5400,-0.20864974995369537
5500,-0.21022004000727443
5600,-0.2096803000535814
5700,-0.20696613440954595
5800,-0.20563890325918296
5900,-0.20410239023563356
6000,-0.2051175195865982
6100,-0.2059353992457784
6200,-0.2055170188740123
6300,-0.20273059215748554
6400,-0.200578215346148
6500,-0.19864594553008175
6600,-0.19843915744809837
6700,-0.19756680101507706
6800,-0.196205324312399
6900,-0.19560805913900575
7000,-0.1939562794684957
7100,-0.19178757571488964
7200,-0.18766495346575932
7300,-0.18776544732155115
7400,-0.19016083254493873
7500,-0.19029203893852545
7600,-0.18930122384524317
7700,-0.19112871801532713
7800,-0.19092191306577805
7900,-0.19040384858842946
8000,-0.1892736592074015
8100,-0.18841832324978447
8200,-0.18825466520307407
8300,-0.18622725629593978
8400,-0.18758185498273652
8500,-0.18737498529238783
8600,-0.18926619374345904
8700,-0.18892976204161444
8800,-0.18746448460052317
8900,-0.18861669850545038
9000,-0.18774308256472982
9100,-0.18897681063853214
9200,-0.18866181106642063
9300,-0.18813850951715283
9400,-0.18714756889030798
9500,-0.1858090325297404
9600,-0.18475882904469262
9700,-0.18620476337766834
9800,-0.18593734054495412
9900,-0.1864834831801197
10000,-0.1868186818681874
