episode,avg_reward
100,-0.15999999999999995
200,-0.11499999999999998
300,-0.1583333333333334
400,-0.1462500000000001
500,-0.13200000000000003
600,-0.16333333333333333
700,-0.14428571428571432
800,-0.1556250000000001
900,-0.16000000000000014
1000,-0.17500000000000024
1100,-0.17227272727272744
1200,-0.16750000000000023
1300,-0.16730769230769263
1400,-0.16500000000000029
1500,-0.16666666666666702
1600,-0.16625000000000026
1700,-0.1697058823529413
1800,-0.16583333333333355
1900,-0.15842105263157905
2000,-0.16174999999999998
2100,-0.16404761904761894
2200,-0.16090909090909092
2300,-0.16326086956521738
2400,-0.1622916666666666
2500,-0.16199999999999995
2600,-0.16076923076923072
2700,-0.16111111111111104
2800,-0.15857142857142864
2900,-0.15793103448275864
3000,-0.15933333333333333
3100,-0.15806451612903233
3200,-0.15531250000000021
3300,-0.1565151515151517
3400,-0.1579411764705884
3500,-0.15514285714285736
3600,-0.15472222222222232
3700,-0.1474324324324325
3800,-0.14473684210526327
3900,-0.14205128205128204
4000,-0.13612499999999988
4100,-0.13585365853658532
4200,-0.13583333333333322
4300,-0.1363953488372091
4400,-0.13659090909090899
4500,-0.1334444444444443
4600,-0.13413043478260855
4700,-0.13127659574468065
4800,-0.12885416666666652
4900,-0.1282653061224489
5000,-0.13179999999999992
5100,-0.13019607843137246
5200,-0.12932692307692298
5300,-0.12745283018867914
5400,-0.13009259259259243
5500,-0.1317272727272726
5600,-0.13419642857142847
5700,-0.1327192982456139
5800,-0.13155172413793093
5900,-0.13169491525423702
6000,-0.13274999999999978
6100,-0.13163934426229473
6200,-0.13153225806451588
6300,-0.1296825396825394
6400,-0.13187499999999977
6500,-0.13192307692307667
6600,-0.13280303030303003
6700,-0.1324626865671639
6800,-0.13117647058823495
6900,-0.13166666666666635
7000,-0.1314999999999997
7100,-0.13154929577464763
7200,-0.13354166666666625
7300,-0.1310273972602736
7400,-0.12999999999999964
7500,-0.1309999999999997
7600,-0.13039473684210495
7700,-0.13064935064935027
7800,-0.12865384615384579
7900,-0.12715189873417693
8000,-0.12849999999999953
8100,-0.12456790123456742
8200,-0.12396341463414587
8300,-0.12385542168674646
8400,-0.12351190476190423
8500,-0.1217058823529407
8600,-0.12116279069767397
8700,-0.12350574712643637
8800,-0.1227840909090905
8900,-0.12174157303370738
9000,-0.12033333333333283
9100,-0.12071428571428525
9200,-0.1203804347826082
9300,-0.11978494623655864
9400,-0.1199468085106378
9500,-0.11973684210526271
9600,-0.11630208333333285
9700,-0.11494845360824693
9800,-0.11229591836734644
9900,-0.11035353535353477
10000,-0.10974999999999935
