episode,avg_reward
100,-0.12499999999999999
200,-0.09000000000000001
300,-0.049999999999999975
400,-0.10749999999999996
500,-0.09699999999999999
600,-0.11916666666666662
700,-0.12428571428571426
800,-0.11624999999999994
900,-0.1011111111111111
1000,-0.10050000000000002
1100,-0.10454545454545454
1200,-0.1125
1300,-0.11692307692307691
1400,-0.11428571428571425
1500,-0.1186666666666666
1600,-0.11531249999999994
1700,-0.11764705882352941
1800,-0.11861111111111113
1900,-0.11815789473684209
2000,-0.12075000000000004
2100,-0.12166666666666659
2200,-0.11227272727272722
2300,-0.10956521739130433
2400,-0.10791666666666667
2500,-0.10800000000000001
2600,-0.11019230769230774
2700,-0.10870370370370365
2800,-0.11678571428571433
2900,-0.11431034482758622
3000,-0.10849999999999999
3100,-0.11064516129032258
3200,-0.11421875000000002
3300,-0.11727272727272733
3400,-0.11073529411764706
3500,-0.11628571428571431
3600,-0.12013888888888888
3700,-0.11689189189189185
3800,-0.1175
3900,-0.11756410256410257
4000,-0.11737499999999991
4100,-0.12012195121951216
4200,-0.11250000000000007
4300,-0.11337209302325592
4400,-0.1104545454545456
4500,-0.11011111111111128
4600,-0.11184782608695672
4700,-0.11276595744680878
4800,-0.10833333333333366
4900,-0.10500000000000036
5000,-0.10750000000000032
5100,-0.10872549019607873
5200,-0.10644230769230797
5300,-0.10726415094339653
5400,-0.10500000000000027
5500,-0.10781818181818215
5600,-0.10705357142857176
5700,-0.10728070175438639
5800,-0.10879310344827621
5900,-0.10898305084745795
6000,-0.11016666666666698
6100,-0.10967213114754136
6200,-0.11072580645161326
6300,-0.1103174603174607
6400,-0.10929687500000035
6500,-0.10784615384615423
6600,-0.10643939393939437
6700,-0.10694029850746309
6800,-0.10676470588235339
6900,-0.10884057971014535
7000,-0.10778571428571472
7100,-0.10936619718309896
7200,-0.10604166666666713
7300,-0.10390410958904152
7400,-0.10364864864864906
7500,-0.1016666666666671
7600,-0.10250000000000041
7700,-0.10097402597402634
7800,-0.10012820512820547
7900,-0.10037974683544339
8000,-0.09906250000000032
8100,-0.09882716049382748
8200,-0.09780487804878085
8300,-0.097951807228916
8400,-0.09720238095238125
8500,-0.09682352941176496
8600,-0.0974418604651165
8700,-0.09620689655172433
8800,-0.09534090909090918
8900,-0.09747191011235964
9000,-0.09522222222222237
9100,-0.09620879120879133
9200,-0.0947282608695654
9300,-0.09403225806451627
9400,-0.09521276595744688
9500,-0.09405263157894746
9600,-0.09296875000000013
9700,-0.09164948453608258
9800,-0.08979591836734707
9900,-0.0886363636363638
10000,-0.08855000000000023
