episode,avg_reward
10,-0.1111111111111111
20,-0.15789473684210525
30,-0.2241379310344827
40,-0.24358974358974353
50,-0.336734693877551
60,-0.3135593220338983
70,-0.3550724637681159
80,-0.3354430379746836
90,-0.34269662921348326
100,-0.3484848484848485
110,-0.3073394495412844
120,-0.2815126050420168
130,-0.2829457364341085
140,-0.2697841726618705
150,-0.2785234899328859
160,-0.3113207547169812
170,-0.3165680473372782
180,-0.27094972067039114
190,-0.24603174603174605
200,-0.2361809045226131
210,-0.23444976076555024
220,-0.25114155251141557
230,-0.2532751091703057
240,-0.2677824267782427
250,-0.26305220883534136
260,-0.24903474903474904
270,-0.23605947955390336
280,-0.2419354838709677
290,-0.23356401384083042
300,-0.24414715719063537
310,-0.2556634304207118
320,-0.26332288401253906
330,-0.27051671732522786
340,-0.2684365781710913
350,-0.2865329512893982
360,-0.28551532033426175
370,-0.28861788617886175
380,-0.29023746701846975
390,-0.28534704370179964
400,-0.27819548872180466
410,-0.27628361858190725
420,-0.2720763723150359
430,-0.2715617715617716
440,-0.2790432801822324
450,-0.2817371937639199
460,-0.2843137254901962
470,-0.27931769722814503
480,-0.2724425887265136
490,-0.2627811860940696
500,-0.2695390781563126
510,-0.26915520628683703
520,-0.2716763005780348
530,-0.2759924385633271
540,-0.2820037105751392
550,-0.28415300546448097
560,-0.28085867620751354
570,-0.280316344463972
580,-0.28583765112262544
590,-0.2809847198641768
600,-0.28297161936560955
610,-0.2799671592775044
620,-0.27544426494345753
630,-0.2758346581875997
640,-0.27777777777777823
650,-0.2781201848998463
660,-0.27996965098634335
670,-0.28176382660687627
680,-0.28645066273932285
690,-0.2880986937590714
700,-0.29113018597997165
710,-0.2926657263751765
720,-0.2885952712100141
730,-0.2860082304526751
740,-0.2821380243572397
750,-0.27837116154873187
760,-0.2720685111989462
770,-0.2730819245773733
780,-0.270860077021823
790,-0.2705956907477822
800,-0.26470588235294135
810,-0.2626699629171818
820,-0.25763125763125766
830,-0.2593486127864898
840,-0.263408820023838
850,-0.26501766784452313
860,-0.2665890570430734
870,-0.2675489067894132
880,-0.27019340159271904
890,-0.26827896512935884
900,-0.26251390433815347
910,-0.26182618261826174
920,-0.26659412404787797
930,-0.26103336921420867
940,-0.2561235356762512
950,-0.2576396206533192
960,-0.25703858185610007
970,-0.2574819401444787
980,-0.2522982635342184
990,-0.2532861476238623
1000,-0.25275275275275255
