episode,avg_reward
100,-0.2650000000000001
200,-0.24500000000000022
300,-0.24500000000000022
400,-0.17000000000000023
500,-0.15000000000000027
600,-0.16250000000000014
700,-0.15642857142857147
800,-0.14625000000000007
900,-0.1483333333333334
1000,-0.1705
1100,-0.18272727272727277
1200,-0.1837499999999999
1300,-0.17153846153846147
1400,-0.17607142857142852
1500,-0.1813333333333333
1600,-0.18031249999999996
1700,-0.17470588235294118
1800,-0.16111111111111115
1900,-0.16368421052631582
2000,-0.16125000000000003
2100,-0.15976190476190494
2200,-0.16022727272727305
2300,-0.16500000000000026
2400,-0.16562500000000016
2500,-0.16680000000000014
2600,-0.15961538461538463
2700,-0.16092592592592597
2800,-0.15625000000000022
2900,-0.15965517241379343
3000,-0.15950000000000028
3100,-0.1559677419354841
3200,-0.15265625000000024
3300,-0.15363636363636393
3400,-0.15000000000000027
3500,-0.15128571428571452
3600,-0.14930555555555566
3700,-0.15027027027027035
3800,-0.1465789473684212
3900,-0.1435897435897438
4000,-0.1421250000000003
4100,-0.14268292682926864
4200,-0.13750000000000034
4300,-0.13546511627907015
4400,-0.13238636363636405
4500,-0.1317777777777782
4600,-0.13086956521739157
4700,-0.12851063829787257
4800,-0.13093750000000035
4900,-0.12959183673469418
5000,-0.12960000000000035
5100,-0.1283333333333337
5200,-0.123942307692308
5300,-0.12198113207547195
5400,-0.12259259259259284
5500,-0.1209090909090912
5600,-0.11875000000000033
5700,-0.11631578947368454
5800,-0.11413793103448305
5900,-0.11805084745762744
6000,-0.11575000000000028
6100,-0.11393442622950847
6200,-0.1117741935483874
6300,-0.11166666666666696
6400,-0.11007812500000026
6500,-0.10746153846153875
6600,-0.10780303030303054
6700,-0.10895522388059727
6800,-0.11029411764705907
6900,-0.11195652173913073
7000,-0.1094285714285717
7100,-0.11112676056338054
7200,-0.11006944444444465
7300,-0.10952054794520572
7400,-0.11114864864864887
7500,-0.11206666666666688
7600,-0.11197368421052653
7700,-0.11305194805194826
7800,-0.11185897435897459
7900,-0.11107594936708877
8000,-0.1106250000000002
8100,-0.10876543209876566
8200,-0.10975609756097582
8300,-0.10981927710843396
8400,-0.10845238095238117
8500,-0.10705882352941198
8600,-0.1075000000000002
8700,-0.10787356321839099
8800,-0.10670454545454568
8900,-0.10797752808988784
9000,-0.10916666666666688
9100,-0.10697802197802221
9200,-0.10652173913043499
9300,-0.10645161290322606
9400,-0.10718085106383005
9500,-0.10684210526315811
9600,-0.10614583333333352
9700,-0.10515463917525789
9800,-0.10500000000000016
9900,-0.10560606060606077
10000,-0.10240000000000009
