episode,avg_reward
100,-0.23737373737373746
200,-0.14321608040201003
300,-0.177257525083612
400,-0.20300751879699244
500,-0.21743486973947898
600,-0.24457429048414023
700,-0.24749642346208858
800,-0.23717146433041283
900,-0.2408231368186871
1000,-0.2367367367367364
1100,-0.22338489535941744
1200,-0.233110925771476
1300,-0.23287143956889883
1400,-0.23588277340957794
1500,-0.23715810540360222
1600,-0.2367104440275169
1700,-0.2307239552678045
1800,-0.22957198443579754
1900,-0.2298578199052132
2000,-0.22436218109054523
2100,-0.22725107193901847
2200,-0.22646657571623455
2300,-0.23053501522401032
2400,-0.23030429345560632
2500,-0.22468987595038006
2600,-0.2237398999615236
2700,-0.2219340496480176
2800,-0.2195426938192209
2900,-0.2228354605036217
3000,-0.22024008002667525
3100,-0.21926427879961252
3200,-0.21584870271959966
3300,-0.20976053349499837
3400,-0.20579582230067667
3500,-0.2029151186053157
3600,-0.20464017782717409
3700,-0.20519059205190587
3800,-0.2050539615688339
3900,-0.20505257758399592
4000,-0.2039259814953739
4100,-0.2022444498658209
4200,-0.20445344129554666
4300,-0.2031867876250292
4400,-0.20061377585814974
4500,-0.19926650366748186
4600,-0.1981952598390957
4700,-0.1978080442647374
4800,-0.1914982287976665
4900,-0.1950398040416414
5000,-0.19363872774554933
5100,-0.19052755442243596
5200,-0.18869013271783053
5300,-0.19126250235893572
5400,-0.18892387479162812
5500,-0.19030732860520103
5600,-0.18789069476692286
5700,-0.18397964555185148
5800,-0.18218658389377518
5900,-0.18223427699610142
6000,-0.18453075512585465
6100,-0.18601410067224167
6200,-0.18567510888853075
6300,-0.18344181616129582
6400,-0.18471636193155208
6500,-0.18248961378673675
6600,-0.1825276557054102
6700,-0.18040005971040476
6800,-0.1824533019561702
6900,-0.18169299898536032
7000,-0.18066866695242195
7100,-0.18291308635019024
7200,-0.1809973607445478
7300,-0.17981915330867237
7400,-0.18056494120827132
7500,-0.18002400320042672
7600,-0.17923410975128298
7700,-0.17872450967658116
7800,-0.17835619951275786
7900,-0.17799721483732103
8000,-0.17702212776597054
8100,-0.1794048647981229
8200,-0.17849737772899105
8300,-0.18092541270032508
8400,-0.18168829622574095
8500,-0.1817272620308269
8600,-0.1807768345156411
8700,-0.17979078054948824
8800,-0.18041822934424362
8900,-0.17945836610855148
9000,-0.1779086565173907
9100,-0.1790306627101879
9200,-0.1779541254484181
9300,-0.1784062802451876
9400,-0.17852963081178844
9500,-0.1795978524055163
9600,-0.17835191165746433
9700,-0.1786266625425301
9800,-0.17889580569445854
9900,-0.17744216587534092
10000,-0.17756775677567754
