episode,avg_reward
10,-0.11111111111111113
20,-0.47368421052631576
30,-0.5862068965517241
40,-0.5897435897435898
50,-0.489795918367347
60,-0.4830508474576271
70,-0.36231884057971014
80,-0.4050632911392406
90,-0.33707865168539336
100,-0.3030303030303031
110,-0.29816513761467883
120,-0.31512605042016795
130,-0.32945736434108513
140,-0.33453237410071934
150,-0.33892617449664425
160,-0.380503144654088
170,-0.38165680473372776
180,-0.39385474860335185
190,-0.394179894179894
200,-0.3819095477386933
210,-0.3540669856459329
220,-0.33561643835616434
230,-0.334061135371179
240,-0.31589958158995807
250,-0.29919678714859427
260,-0.29536679536679517
270,-0.29553903345724886
280,-0.2921146953405016
290,-0.2889273356401383
300,-0.28929765886287623
310,-0.27346278317152106
320,-0.2648902821316615
330,-0.2629179331306991
340,-0.26696165191740423
350,-0.2535816618911176
360,-0.24094707520891379
370,-0.23170731707317085
380,-0.2348284960422165
390,-0.23393316195372763
400,-0.22305764411027576
410,-0.22616136919315408
420,-0.22076372315035803
430,-0.20512820512820518
440,-0.19476082004555811
450,-0.19710467706013365
460,-0.21023965141612203
470,-0.21321961620469082
480,-0.20354906054279748
490,-0.2116564417177914
500,-0.21743486973947904
510,-0.2249508840864441
520,-0.22254335260115612
530,-0.23345935727788286
540,-0.23283858998144716
550,-0.22677595628415306
560,-0.2262969588550984
570,-0.23110720562390166
580,-0.22279792746113997
590,-0.22410865874363337
600,-0.22871452420701177
610,-0.2307060755336618
620,-0.23021001615508888
630,-0.22972972972972974
640,-0.229264475743349
650,-0.2311248073959938
660,-0.2367223065250379
670,-0.23019431988041852
680,-0.23122238586156107
690,-0.22931785195936133
700,-0.23319027181688118
710,-0.22849083215796892
720,-0.23365785813630036
730,-0.22976680384087783
740,-0.2293640054127198
750,-0.23297730307076095
760,-0.23254281949934116
770,-0.22821846553966182
780,-0.23170731707317066
790,-0.232572877059569
800,-0.2409261576971213
810,-0.23423980222496898
820,-0.23992673992673985
830,-0.23763570566948128
840,-0.23480333730631706
850,-0.23910482921083628
860,-0.24039580908032593
870,-0.2410817031070195
880,-0.23947667804323086
890,-0.23790776152980872
900,-0.24082313681868736
910,-0.2425742574257425
920,-0.24319912948857447
930,-0.24488697524219583
940,-0.2476038338658146
950,-0.2481559536354056
960,-0.24452554744525543
970,-0.2481940144478844
980,-0.2487231869254341
990,-0.25025278058645095
1000,-0.25125125125125136
