episode,avg_reward
100,-0.17499999999999993
200,-0.0949999999999999
300,-0.11499999999999995
400,-0.10499999999999991
500,-0.12499999999999982
600,-0.12083333333333321
700,-0.1407142857142856
800,-0.13187500000000002
900,-0.13833333333333336
1000,-0.13550000000000004
1100,-0.13000000000000006
1200,-0.11833333333333339
1300,-0.111923076923077
1400,-0.1135714285714286
1500,-0.10266666666666673
1600,-0.1043750000000001
1700,-0.1058823529411766
1800,-0.10194444444444463
1900,-0.10157894736842125
2000,-0.10050000000000021
2100,-0.10500000000000018
2200,-0.11181818181818193
2300,-0.116304347826087
2400,-0.11
2500,-0.1142000000000001
2600,-0.11365384615384629
2700,-0.11592592592592599
2800,-0.11500000000000002
2900,-0.11603448275862072
3000,-0.11616666666666667
3100,-0.11596774193548394
3200,-0.11609375000000005
3300,-0.11196969696969702
3400,-0.10691176470588246
3500,-0.10785714285714297
3600,-0.106388888888889
3700,-0.10405405405405418
3800,-0.10500000000000012
3900,-0.10410256410256416
4000,-0.10312500000000001
4100,-0.10207317073170728
4200,-0.09809523809523805
4300,-0.09558139534883714
4400,-0.09261363636363631
4500,-0.09133333333333327
4600,-0.09130434782608683
4700,-0.09148936170212763
4800,-0.09229166666666658
4900,-0.09051020408163261
5000,-0.08869999999999989
5100,-0.0895098039215684
5200,-0.08942307692307677
5300,-0.09018867924528291
5400,-0.088611111111111
5500,-0.08509090909090895
5600,-0.0855357142857142
5700,-0.08798245614035088
5800,-0.08844827586206895
5900,-0.08771186440677968
6000,-0.08558333333333332
6100,-0.08524590163934424
6200,-0.08443548387096768
6300,-0.08555555555555545
6400,-0.08539062499999993
6500,-0.08299999999999991
6600,-0.08340909090909082
6700,-0.08223880597014917
6800,-0.08036764705882346
6900,-0.0785507246376811
7000,-0.07821428571428564
7100,-0.07922535211267596
7200,-0.07937499999999993
7300,-0.07828767123287668
7400,-0.07966216216216218
7500,-0.08093333333333341
7600,-0.08184210526315801
7700,-0.08194805194805206
7800,-0.0821794871794873
7900,-0.08183544303797485
8000,-0.08062500000000017
8100,-0.08185185185185197
8200,-0.08103658536585379
8300,-0.08120481927710854
8400,-0.08160714285714302
8500,-0.08158823529411781
8600,-0.08377906976744193
8700,-0.084080459770115
8800,-0.08573863636363642
8900,-0.0848876404494382
9000,-0.08472222222222227
9100,-0.08335164835164843
9200,-0.08206521739130442
9300,-0.08274193548387107
9400,-0.08335106382978738
9500,-0.08236842105263176
9600,-0.08239583333333343
9700,-0.08268041237113408
9800,-0.08204081632653062
9900,-0.08308080808080805
10000,-0.08204999999999998
