episode,avg_reward
100,-0.2700000000000001
200,-0.2475
300,-0.1933333333333333
400,-0.19874999999999995
500,-0.20600000000000002
600,-0.18750000000000003
700,-0.18071428571428572
800,-0.17812499999999998
900,-0.1911111111111112
1000,-0.18000000000000002
1100,-0.17454545454545436
1200,-0.1795833333333332
1300,-0.17538461538461536
1400,-0.1807142857142857
1500,-0.1816666666666666
1600,-0.17625
1700,-0.17794117647058835
1800,-0.17777777777777792
1900,-0.17342105263157911
2000,-0.16800000000000007
2100,-0.16476190476190486
2200,-0.16522727272727275
2300,-0.16978260869565223
2400,-0.15625000000000006
2500,-0.15880000000000002
2600,-0.1548076923076924
2700,-0.1590740740740742
2800,-0.15357142857142875
2900,-0.1553448275862071
3000,-0.15216666666666673
3100,-0.15225806451612894
3200,-0.14828124999999975
3300,-0.14696969696969664
3400,-0.14411764705882327
3500,-0.1464285714285713
3600,-0.14416666666666647
3700,-0.13662162162162161
3800,-0.1396052631578949
3900,-0.13756410256410287
4000,-0.13450000000000042
4100,-0.1337804878048784
4200,-0.1285714285714289
4300,-0.12813953488372132
4400,-0.12431818181818215
4500,-0.12455555555555588
4600,-0.12239130434782639
4700,-0.12308510638297902
4800,-0.1223958333333336
4900,-0.11785714285714312
5000,-0.1149000000000003
5100,-0.11401960784313758
5200,-0.11201923076923109
5300,-0.1122641509433965
5400,-0.1112962962962966
5500,-0.11145454545454571
5600,-0.10991071428571447
5700,-0.1073684210526317
5800,-0.10784482758620696
5900,-0.10864406779661029
6000,-0.11025000000000013
6100,-0.10770491803278709
6200,-0.10604838709677447
6300,-0.10452380952380977
6400,-0.1057031250000002
6500,-0.10746153846153865
6600,-0.10871212121212145
6700,-0.10947761194029879
6800,-0.10610294117647084
6900,-0.1052173913043481
7000,-0.1073571428571431
7100,-0.10859154929577486
7200,-0.10652777777777792
7300,-0.1069178082191781
7400,-0.1067567567567568
7500,-0.10546666666666665
7600,-0.10532894736842105
7700,-0.1032467532467533
7800,-0.10205128205128214
7900,-0.10158227848101274
8000,-0.10200000000000001
8100,-0.10172839506172837
8200,-0.1027439024390244
8300,-0.10421686746987951
8400,-0.1032738095238095
8500,-0.10152941176470584
8600,-0.09976744186046504
8700,-0.098103448275862
8800,-0.0976704545454545
8900,-0.0978651685393258
9000,-0.09811111111111102
9100,-0.09780219780219768
9200,-0.09766304347826076
9300,-0.09586021505376334
9400,-0.09574468085106372
9500,-0.09778947368421038
9600,-0.09604166666666655
9700,-0.09412371134020606
9800,-0.09448979591836724
9900,-0.09515151515151513
10000,-0.09574999999999995
