episode,avg_reward
10,-0.8999999999999999
20,-0.65
30,-0.5333333333333333
40,-0.47500000000000003
50,-0.44000000000000006
60,-0.4083333333333334
70,-0.3214285714285714
80,-0.28125
90,-0.32777777777777783
100,-0.33000000000000007
110,-0.30000000000000004
120,-0.3125
130,-0.3038461538461538
140,-0.28928571428571426
150,-0.2833333333333334
160,-0.30312500000000003
170,-0.3323529411764707
180,-0.33055555555555566
190,-0.30263157894736853
200,-0.28750000000000014
210,-0.2833333333333335
220,-0.27727272727272745
230,-0.29130434782608705
240,-0.25416666666666676
250,-0.2480000000000001
260,-0.22692307692307703
270,-0.2074074074074075
280,-0.19107142857142867
290,-0.17413793103448283
300,-0.17500000000000007
310,-0.18548387096774202
320,-0.17968750000000006
330,-0.18333333333333335
340,-0.17352941176470588
350,-0.17857142857142855
360,-0.17916666666666667
370,-0.17432432432432432
380,-0.17763157894736836
390,-0.17820512820512813
400,-0.18374999999999989
410,-0.18658536585365842
420,-0.18095238095238086
430,-0.17558139534883713
440,-0.17386363636363633
450,-0.16999999999999996
460,-0.17065217391304344
470,-0.17872340425531913
480,-0.17708333333333331
490,-0.16938775510204082
500,-0.16199999999999998
510,-0.16078431372549015
520,-0.1634615384615384
530,-0.1622641509433962
540,-0.16666666666666666
550,-0.1618181818181818
560,-0.1464285714285714
570,-0.1526315789473684
580,-0.14655172413793102
590,-0.15423728813559323
600,-0.1541666666666667
610,-0.1532786885245902
620,-0.15403225806451618
630,-0.15714285714285714
640,-0.15703125
650,-0.15153846153846157
660,-0.1575757575757576
670,-0.16268656716417912
680,-0.15147058823529413
690,-0.15797101449275364
700,-0.16142857142857148
710,-0.16408450704225358
720,-0.1645833333333334
730,-0.16780821917808225
740,-0.170945945945946
750,-0.17133333333333342
760,-0.1723684210526317
770,-0.17012987012987021
780,-0.16987179487179496
790,-0.168987341772152
800,-0.17437500000000009
810,-0.17345679012345686
820,-0.17926829268292685
830,-0.17530120481927708
840,-0.1767857142857143
850,-0.18176470588235297
860,-0.18662790697674417
870,-0.19137931034482758
880,-0.18352272727272728
890,-0.18595505617977529
900,-0.1877777777777778
910,-0.18791208791208794
920,-0.19130434782608693
930,-0.1919354838709677
940,-0.1920212765957446
950,-0.191578947368421
960,-0.19062499999999993
970,-0.1927835051546391
980,-0.19030612244897954
990,-0.18737373737373733
1000,-0.18549999999999991
